ENTIDAD,NOM_ENT ,DISTRITO,INDIGENA,COMPLEJIDA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_0A17,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_12A14,P_12A14_F,P_12A14_M,P3A5_NOA,P3A5_NOA_F,P3A5_NOA_M,P6A11_NOA,P6A11_NOAF,P6A11_NOAM,P12A14NOA,P12A14NOAF,P12A14NOAM,P3YM_HLI,P3YM_HLI_F,P3YM_HLI_M
13,Hidalgo,3,NO,Disperso 1,416056,216544,199512,17273,8583,8690,127461,20704,10215,10489,44749,22089,22660,22477,11108,11369,8294,4079,4215,1179,558,621,1154,477,677,8540,4344,4196
13,Hidalgo,4,NO,Disperso 1,417765,219001,198764,21026,10389,10637,138735,22125,10944,11181,47315,23438,23877,24369,12108,12261,9638,4749,4889,1768,819,949,2222,924,1298,39888,21303,18585
13,Hidalgo,5,NO,Concentración Media,470382,241880,228502,20520,10255,10265,142643,23806,11734,12072,49040,24061,24979,24634,12174,12460,9054,4467,4587,1459,711,748,1453,632,821,5591,2800,2791
13,Hidalgo,6,NO,Concentrado 2,526882,273919,252963,20410,10060,10350,149543,24850,12318,12532,49931,24628,25303,27028,13397,13631,8943,4396,4547,1320,639,681,1278,568,710,13295,6825,6470
13,Hidalgo,7,NO,Concentración Media,446403,232871,213532,16533,8074,8459,128139,20971,10396,10575,44363,22100,22263,22968,11354,11614,7342,3625,3717,1233,609,624,1097,494,603,5491,2849,2642
14,Jalisco,1,NO,Muy Disperso 1,391749,199045,192704,21211,10514,10697,135023,22294,11197,11097,46856,23192,23664,22581,11098,11483,8696,4353,4343,2254,1052,1202,2609,1136,1473,23917,12165,11752
14,Jalisco,10,NO,Concentrado 1,411067,211162,199905,15454,7588,7866,100597,17713,8739,8974,32568,15959,16609,17065,8229,8836,6041,2965,3076,1939,946,993,1691,769,922,5740,3055,2685
14,Jalisco,11,NO,Altamente Concentrado 1,342872,177645,165227,12358,6057,6301,87739,14915,7392,7523,28958,14354,14604,15184,7447,7737,5674,2833,2841,1506,721,785,1219,560,659,652,293,359
14,Jalisco,12,NO,Concentrado 2,726488,366876,359612,36673,18221,18452,257797,44149,21777,22372,90576,44463,46113,44321,21828,22493,19496,9452,10044,5636,2632,3004,4940,2261,2679,4057,1928,2129
14,Jalisco,13,NO,Altamente Concentrado 2,414116,211079,203037,17877,8861,9016,115240,19855,9924,9931,38442,18773,19669,19315,9545,9770,7118,3515,3603,1669,788,881,1612,754,858,2497,1220,1277
14,Jalisco,14,NO,Altamente Concentrado 2,344173,178254,165919,12055,5934,6121,84568,14395,7146,7249,28416,13844,14572,14614,7224,7390,5059,2457,2602,1254,574,680,1156,500,656,1399,671,728
14,Jalisco,15,NO,Concentración Media,422357,215549,206808,22973,11323,11650,142566,24533,12113,12420,48669,24060,24609,23441,11564,11877,11136,5465,5671,2428,1121,1307,3750,1722,2028,580,257,323
14,Jalisco,16,NO,Altamente Concentrado 2,418419,212149,206270,20113,10060,10053,129763,22367,11093,11274,43071,21177,21894,21853,10753,11100,9646,4728,4918,2486,1207,1279,2340,1029,1311,1862,888,974
14,Jalisco,17,NO,Concentración Media,375254,189708,185546,19055,9459,9596,123916,20728,10344,10384,42300,20929,21371,21463,10072,11391,7928,3876,4052,2350,1087,1263,2887,1302,1585,2105,585,1520
14,Jalisco,18,NO,Disperso 2,372027,188067,183960,18191,9063,9128,118065,19614,9608,10006,40937,20200,20737,20040,9931,10109,5767,2808,2959,1662,780,882,1952,840,1112,3232,1555,1677
14,Jalisco,19,NO,Disperso 1,396027,201584,194443,18986,9426,9560,120939,20193,9913,10280,41891,20574,21317,20133,9883,10250,7118,3410,3708,1976,880,1096,2130,968,1162,3690,1269,2421
